name,exp,E,Elo,Ehi,M,live,edge,status,t0,t1,rel,hidden_at_HE
LUX 2013-16,LUX,0.092,0.092,0.092,0.1,,50.0,analysed (archival),2013.3,2016.4,exposure 3.35e4 kg d (likely); ROI edge ~50 keV (uncertain),True
PandaX-II 2016-18,PandaX-II,0.36,0.36,0.36,0.33,,50.0,analysed (archival),2016.2,2018.6,exposure 132 t d (likely); ROI edge ~50 keV (uncertain),True
XENON1T 2018,XENON1T,1.0,1.0,1.0,1.3,,41.0,analysed (archival),2016.9,2018.1,1.0 t yr (certain); cS1 < 70 PE ~ 41 keV NR (likely),True
LZ SR1 2022,LZ,0.77,0.77,0.9,4.71,,70.0,"analysed, HE untouched",2021.98,2022.35,60 live d x 5.5 t = 0.90 t yr (certain); 0.77 with the SR3 4.71 t FV; ROI ~ 70 keV (likely),True
LZ SR3 (WS2024) analysed,LZ,2.84,2.84,2.84,4.71,0.593,270.0,analysed to 270 keV (this result),2023.23,2024.25,paper (certain),False
LZ untouched since Apr 2024,LZ,6.76,5.7,8.55,4.71,0.593,,untouched,2024.25,2026.6707734428473,P020: 884 cal d x 0.593 x 4.71 t; live fraction +-25%,True
XENONnT SR0+SR1 analysed,XENONnT,3.1,3.1,3.1,4.0,,60.0,"analysed, HE untouched",2021.5,2023.6,"3.1 t yr (certain, cited by LZ); ROI cS1 < 100 PE ~ 60 keV (uncertain)",True
XENONnT untouched (SR2+),XENONnT,3.0,2.0,5.0,4.0,0.25,,untouched (recalled),2023.6,2026.6707734428473,UNCERTAIN: XENONnT continued after SR1 with long stops (neutron-veto Gd loading); 3.0 yr x 4.0 t x eff. live 0.17-0.42,True
PandaX-4T Run0+Run1 analysed,PandaX-4T,1.54,1.54,1.54,2.7,,100.0,"analysed, HE untouched",2020.9,2022.4,"1.54 t yr (certain, cited by LZ); ROI edge ~100 keV (uncertain)",True
PandaX-4T untouched (Run2/3),PandaX-4T,2.5,1.5,3.5,2.7,0.33,,untouched (recalled),2023.9,2026.6707734428473,UNCERTAIN: running again since late 2023 after upgrade; 2.8 yr x 2.7 t x eff. live 0.2-0.46,True
